Ticker,Company,Segment,Exchange,Weighting (%)
SSE: 600809,Shanxi Xinghuacun Fen Wine Factory,Consumer Staples,Shanghai,0.638
SSE: 601668,China State Construction Engineering,Industrials,Shanghai,0.629
SSE: 603259,WuXi AppTec,Health Care,Shanghai,0.627
SZSE: 002714,Muyuan Foodstuff,Consumer Staples,Shenzhen,0.59
SZSE: 000001,Ping An Bank,Financials,Shenzhen,0.576
SZSE: 300498,Wens Foodstuff Group,Consumer Staples,Shenzhen,0.572
SSE: 600016,China Minsheng Bank,Financials,Shanghai,0.563
SSE: 601857,PetroChina,Energy,Shanghai,0.562
SSE: 601225,Shaanxi Coal Industry Company,Energy,Shanghai,0.561
SZSE: 300308,Zhongji Innolight,Information Technology,Shenzhen,0.559
SSE: 688981,Semiconductor Manufacturing International Corporation,Information Technology,Shanghai,0.535
SZSE: 000063,ZTE,Information Technology,Shenzhen,0.534
SSE: 601988,Bank of China,Financials,Shanghai,0.528
SZSE: 002352,S.F. Holding,Industrials,Shenzhen,0.527
SSE: 600406,NARI Technology,Industrials,Shanghai,0.522
SSE: 600941,China Mobile,Communication,Shanghai,0.517
SZSE: 000338,Weichai Power,Industrials,Shenzhen,0.514
SSE: 600050,China United Network Communications,Communication,Shanghai,0.514
SZSE: 002230,Iflytek,Information Technology,Shenzhen,0.513
SSE: 600690,Qingdao Haier,Consumer Discretionary,Shanghai,0.512
SSE: 601728,China Telecom Corporation,Communication,Shanghai,0.51
SZSE: 300274,Sungrow Power Supply,Industrials,Shenzhen,0.509
SZSE: 002142,Bank of Ningbo,Financials,Shenzhen,0.495
SSE: 600837,Haitong Securities Company,Financials,Shanghai,0.495
SZSE: 000792,Qinghai Salt Lake Potash,Materials,Shenzhen,0.492
SSE: 601601,China Pacific Insurance,Financials,Shanghai,0.492
SZSE: 000100,TCL Corporation,Information Technology,Shenzhen,0.477
SSE: 601888,China International Travel Service,Consumer Discretionary,Shanghai,0.477
SSE: 600000,Shanghai Pudong Development Bank,Financials,Shanghai,0.471
